Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Type,Unidirectional Channels,Voltage - Reverse Standoff (Typ),Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Current - Peak Pulse (10/1000µs),Power - Peak Pulse,Power Line Protection,Applications,Capacitance @ Frequency,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Bidirectional Channels,Grade,Qualification,URL
https://assets.nexperia.com/documents/data-sheet/PUSB3FR4.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6311/1727%7ESOT1176-1%7E%7E10.jpg,"1727-2026-2-ND,1727-2026-1-ND,1727-2026-6-ND",PUSB3FR4Z,Nexperia USA Inc.,Nexperia USA Inc.,TVS DIODE 3.3VWM 3VC DFN2510A-10,"61,971",0.14,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,4,3.3V (Max),5.5V,3V (Typ),5A (8/20µs),-,No,HDMI,-,-40°C ~ 85°C (TA),Surface Mount,10-XFDFN,DFN2510A-10,-,-,-,https://www.digikey.com/en/products/detail/nexperia-usa-inc/PUSB3FR4Z/5216193
//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8935/RCLAMP4041ZATFT.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1010/600%7ESLP0603P3X3F%7E%7E3.jpg,"600-RCLAMP4041ZATFTTR-ND,600-RCLAMP4041ZATFTCT-ND,600-RCLAMP4041ZATFTDKR-ND",RCLAMP4041ZATFT,Semtech Corporation,Semtech Corporation,TVS DIODE 4VWM 8VC SLP0603P2X3F,"40,047",0.16,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,4V,6V,8V,20A (8/20µs),160W,No,USB,0.65pF @ 1MHz,-,Surface Mount,0201 (0603 Metric),SLP0603P2X3F,1,-,-,https://www.digikey.com/en/products/detail/semtech-corporation/RCLAMP4041ZATFT/16212720
https://www.onsemi.com/pub/Collateral/ESD9X3.3ST5G-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5023/488%7E514AA%7E%7E2.jpg,"ESD9X5.0ST5GOSTR-ND,ESD9X5.0ST5GOSCT-ND,ESD9X5.0ST5GOSDKR-ND",ESD9X5.0ST5G,onsemi,onsemi,TVS DIODE 5VWM 12.3VC SOD923,"195,099",0.17,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,1,5V (Max),6.2V,12.3V,8.7A (8/20µs),107W,No,General Purpose,65pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,SOD-923,SOD-923,-,-,-,https://www.digikey.com/en/products/detail/onsemi/ESD9X5-0ST5G/1476616
https://toshiba.semicon-storage.com/info/docget.jsp?did=55586&prodName=DF2B7AFS,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/264_SOD-923.jpg,"DF2B7AFSL3MTR-ND,DF2B7AFSL3MCT-ND,DF2B7AFSL3MDKR-ND","DF2B7AFS,L3M",Toshiba Semiconductor and Storage,Toshiba Semiconductor and Storage,TVS DIODE 5.5VWM 20VC SOD923,"485,973",0.19,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5.5V (Max),5.8V,20V,4A (8/20µs),80W,No,-,8.5pF @ 1MHz,150°C (TJ),Surface Mount,SOD-923,SOD-923,1,-,-,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/DF2B7AFS-L3M/7394048
https://www.infineon.com/dgdl/Infineon-ESD150-B1-W0201-DataSheet-v01_00-EN.pdf?fileId=5546d46278d64ffd01790dcd03eb4818,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/WLL586363046.jpg,"448-ESD150B1W0201E6327XTSA1TR-ND,448-ESD150B1W0201E6327XTSA1CT-ND,448-ESD150B1W0201E6327XTSA1DKR-ND",ESD150B1W0201E6327XTSA1,Infineon Technologies,Infineon Technologies,TVS DIODE 3.3VWM 3.8V PGWLL23,"10,378",0.2,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,3.3V (Max),5.9V,3.8V (Typ),3A (8/20µs),12W,No,"HDMI, USB",0.15pF @ 10GHz,-55°C ~ 125°C (TA),Surface Mount,0201 (0603 Metric),PG-WLL-2-3,1,-,-,https://www.digikey.com/en/products/detail/infineon-technologies/ESD150B1W0201E6327XTSA1/15776257
https://www.ti.com/lit/ds/symlink/tpd1e10b06.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6170/296%7E4224978%7EDYA%7E2.jpg,"296-TPD1E10B06DYARTR-ND,296-TPD1E10B06DYARCT-ND,296-TPD1E10B06DYARDKR-ND",TPD1E10B06DYAR,Texas Instruments,Texas Instruments,TVS DIODE 5.5VWM 14VC SOT5X3,"254,667",0.21,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5.5V (Max),6V,14V,6A (8/20µs),90W,No,USB,12pF @ 1MHz,-40°C ~ 125°C (TA),Surface Mount,"SC-79, SOD-523",SOT-5X3,1,-,-,https://www.digikey.com/en/products/detail/texas-instruments/TPD1E10B06DYAR/15853876
https://datasheets.kyocera-avx.com/AVX-GiGuard.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4243/giguard_750sq.jpg,"478-GG040207100N2PTR-ND,478-GG040207100N2PCT-ND,478-GG040207100N2PDKR-ND",GG040207100N2P,KYOCERA AVX,KYOCERA AVX,TVS DIODE 7VWM 13VC 0402,"196,315",0.21,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",GiGUARD,Active,Zener,-,7V,9V,13V,6A,72W,No,"Ethernet, HDMI, USB",-,-55°C ~ 125°C (TA),Surface Mount,0402 (1005 Metric),402,1,-,-,https://www.digikey.com/en/products/detail/kyocera-avx/GG040207100N2P/14552143
https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E514AB-01%7E%7E2.jpg,"ESD9B5.0ST5GOSTR-ND,ESD9B5.0ST5GOSCT-ND,ESD9B5.0ST5GOSDKR-ND",ESD9B5.0ST5G,onsemi,onsemi,TVS DIODE 5VWM SOD923,"92,987",0.21,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5V (Max),5.8V,-,-,-,No,General Purpose,15pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,SOD-923,SOD-923,1,-,-,https://www.digikey.com/en/products/detail/onsemi/ESD9B5-0ST5G/1646449
https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E502-01%7E%7E2.jpg,"ESD5Z3.3T1GOSTR-ND,2832-ESD5Z3.3T1GTR-ND,ESD5Z3.3T1GOSCT-ND,ESD5Z3.3T1GOSDKR-ND",ESD5Z3.3T1G,onsemi,"onsemi,Flip Electronics",TVS DIODE 3.3VWM 14.1VC SOD523,0,0.21,0,1,"Tape & Reel (TR),Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,1,3.3V (Max),5V,14.1V,11.2A (8/20µs),158W,No,General Purpose,105pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,"SC-79, SOD-523",SOD-523,-,-,-,https://www.digikey.com/en/products/detail/onsemi/ESD5Z3-3T1G/1476607
https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E502-01%7E%7E2.jpg,"ESD5Z12T1GOSTR-ND,ESD5Z12T1GOSCT-ND,ESD5Z12T1GOSDKR-ND",ESD5Z12T1G,onsemi,onsemi,TVS DIODE 12VWM 25VC SOD523,"2,226",0.21,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,1,12V (Max),14.1V,25V,9.6A (8/20µs),240W,No,General Purpose,55pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,"SC-79, SOD-523",SOD-523,-,-,-,https://www.digikey.com/en/products/detail/onsemi/ESD5Z12T1G/1202914
