Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Bidirectional Channels","Voltage - Reverse Standoff (Typ)","Voltage - Breakdown (Min)","Voltage - Clamping (Max) @ Ipp","Current - Peak Pulse (10/1000µs)","Power - Peak Pulse","Power Line Protection","Applications","Capacitance @ Frequency","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Unidirectional Channels","Grade","Qualification","URL"
"https://www.onsemi.cn/pdf/datasheet/esd9b-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E514AB-01%7E%7E2.jpg","ESD9B5.0ST5GOSTR-ND,ESD9B5.0ST5GOSCT-ND,ESD9B5.0ST5GOSDKR-ND","ESD9B5.0ST5G","onsemi","onsemi","TVS DIODE 5VWM SOD923","657,301","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","1","5V (Max)","5.8V","-","-","-","No","General Purpose","15pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOD-923","SOD-923","-","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD9B5-0ST5G/1646449"
"https://www.onsemi.com/pdf/datasheet/esd9x3.3st5g-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5023/488%7E514AA%7E%7E2.jpg","ESD9X5.0ST5GOSTR-ND,ESD9X5.0ST5GOSCT-ND,ESD9X5.0ST5GOSDKR-ND","ESD9X5.0ST5G","onsemi","onsemi","TVS DIODE 5VWM 12.3VC SOD923","480,203","0.11","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V (Max)","6.2V","12.3V","8.7A (8/20µs)","107W","No","General Purpose","65pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOD-923","SOD-923","1","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD9X5-0ST5G/1476616"
"https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E502-01%7E%7E2.jpg","ESD5Z3.3T1GOSTR-ND,ESD5Z3.3T1GOSCT-ND,ESD5Z3.3T1GOSDKR-ND","ESD5Z3.3T1G","onsemi","onsemi","TVS DIODE 3.3VWM 14.1VC SOD523","141,833","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","3.3V (Max)","5V","14.1V","11.2A (8/20µs)","158W","No","General Purpose","105pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SC-79, SOD-523","SOD-523","1","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD5Z3-3T1G/1476607"
"https://www.onsemi.cn/pdf/datasheet/esd9b-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E514AB-01%7E%7E2.jpg","ESD9B3.3ST5GOSTR-ND,ESD9B3.3ST5GOSCT-ND,ESD9B3.3ST5GOSDKR-ND","ESD9B3.3ST5G","onsemi","onsemi","TVS DIODE 3.3VWM 11.5VC SOD923","180,882","0.16","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","1","3.3V (Max)","5V","11.5V","2A (8/20µs)","-","No","General Purpose","15pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOD-923","SOD-923","-","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD9B3-3ST5G/1973669"
"https://www.onsemi.com/pdf/datasheet/esd9x3.3st5g-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5023/488%7E514AA%7E%7E2.jpg","ESD9X3.3ST5GOSTR-ND,ESD9X3.3ST5GOSCT-ND,ESD9X3.3ST5GOSDKR-ND","ESD9X3.3ST5G","onsemi","onsemi","TVS DIODE 3.3VWM 10.4VC SOD923","30,875","0.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","3.3V (Max)","5V","10.4V","9.8A (8/20µs)","102W","No","General Purpose","80pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOD-923","SOD-923","1","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD9X3-3ST5G/1476615"
"https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E502-01%7E%7E2.jpg","ESD5Z5.0T1GOSTR-ND,ESD5Z5.0T1GOSCT-ND,ESD5Z5.0T1GOSDKR-ND","ESD5Z5.0T1G","onsemi","onsemi","TVS DIODE 5VWM 18.6VC SOD523","155,449","0.19","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V (Max)","6.2V","18.6V","9.4A (8/20µs)","174W","No","General Purpose","80pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SC-79, SOD-523","SOD-523","1","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD5Z5-0T1G/1476609"
"https://www.onsemi.com/pdf/datasheet/esd5b5.0st1-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E502-01%7E%7E2.jpg","ESD5B5.0ST1GOSTR-ND,ESD5B5.0ST1GOSCT-ND,ESD5B5.0ST1GOSDKR-ND","ESD5B5.0ST1G","onsemi","onsemi","TVS DIODE 5VWM SOD523","129,667","0.19","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","1","5V (Max)","5.8V","-","-","50W","No","General Purpose","32pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SC-79, SOD-523","SOD-523","-","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD5B5-0ST1G/1792206"
"https://www.onsemi.com/pdf/datasheet/esd9c3.3s-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E514AB-01%7E%7E2.jpg","ESD9C5.0ST5GOSTR-ND,ESD9C5.0ST5GOSCT-ND,ESD9C5.0ST5GOSDKR-ND","ESD9C5.0ST5G","onsemi","onsemi","TVS DIODE 5VWM SOD923","24,357","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V (Max)","11V","-","-","-","No","-","6pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOD-923","SOD-923","1","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD9C5-0ST5G/1646451"
"https://www.onsemi.com/pdf/datasheet/nup2105l-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E318-08%7EET%2CL%2CLT%2CSF%2CSN%7E3.jpg","SZNUP2105LT1GOSTR-ND,2832-SZNUP2105LT1GTR-ND,SZNUP2105LT1GOSCT-ND,SZNUP2105LT1GOSDKR-ND","SZNUP2105LT1G","onsemi","onsemi,Flip Electronics","TVS DIODE 24VWM 44VC SOT233","0","0.21","0","1","Tape & Reel (TR),Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","2","24V (Min)","26.2V","44V","8A (8/20µs)","350W","No","-","30pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)","-","Automotive","AEC-Q101","https://www.digikey.com/en/products/detail/onsemi/SZNUP2105LT1G/3063422"
"https://www.onsemi.com/pdf/datasheet/esd7351-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E477-02%7E%7E2.jpg","ESD7351HT1GOSTR-ND,ESD7351HT1GOSCT-ND,ESD7351HT1GOSDKR-ND","ESD7351HT1G","onsemi","onsemi","TVS DIODE 3.3VWM SOD323","8,290","0.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","3.3V (Max)","5V","-","-","-","No","RF Antenna","0.43pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SC-76, SOD-323","SOD-323","1","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD7351HT1G/5257563"
